review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
RONNSK2TUZLIZ,B08YRT9T38,5.0 out of 5 stars The Only Portable Bluetooth That Matters,Maserati Matt,5,"My trucks at work (most of them) do not have radios. A Bluetooth that last all day and overcomes the sound of a loud diesel tractor is very important to me not losing my mind.Bang & Olufsen is pretty well the gold standard in audio as far as I’m concerned. My BMW has it and it’s the best audio of any car I’ve ever had. This Bluetooth speaker follows that tradition.The design is incredibly compact, elegant and well thought out. The ability to hang it with a carabiner was an incredibly important consideration for me. It’s a beautiful piece of engineering.Performance is exceptional when used with the app which allows fine tuning. It’s incredibly loud, fills a space and has rich audio. Do not care about bass as you won’t get meaningful bass out of a small speaker for the most part. Clear audio is the name of the game and this speaker breaks so many rules. It pushes way above its weight class.Not to mention it’s entirely inexpensive for the performance this bad boy delivers. This is the only speaker you should consider if you remotely care about audio quality.","Reviewed in the United States May 8, 2024",AE5O6HEHZOFRXPDQL46BTXEOZHYA,True,7,Color: NavyStyle: Bluetooth speaker
R1FPAXCIROOPM4,B08YRT9T38,5.0 out of 5 stars Buena,Bdo,5,Buen producto,"Reviewed in the United States August 17, 2024",AGAYDAJ7VR2WIZU4KMBAPFILPOBQ,True,0,Color: Black AnthraciteStyle: Bluetooth speaker
RG7EKV2F4H5U7,B08YRT9T38,5.0 out of 5 stars Great compact speaker,Beyoncé,5,"Sounds great, compact design, looks very nice (especially the green color!), battery life is amazing, and I love the fact that it comes with a carabiner to attach to your bag. No complaints.","Reviewed in the United States July 9, 2024",AE77SL7V54UUXQ4KG7XHLHJUH3GA,True,1,Color: GreenStyle: Bluetooth speaker
R29X4XDTYB8FV0,B08YRT9T38,"4.0 out of 5 stars Premium Speaker: Impeccable Quality, Subdued Volume",Jojololo,4,"The speaker I recently acquired is a bit of a mixed bag. As an avid audiophile with a penchant for high-end audio equipment, I was excited to add this to my collection. The build quality is exceptional, a true testament to the craftsmanship that went into its design. However, when it comes to the volume, I can't help but feel a sense of disappointment. The sound it produces, while undoubtedly of high quality, is a bit subdued for my taste. As someone who values the intricacies and nuances of audio, I expected more power and presence. While I appreciate the materials and construction, the volume, and the bass issue leaves me wanting more. While I understand the need for portability, the subdued volume simply doesn't cut it for me. Music should have the power to fill a space, to move people, and to evoke emotions, and this speaker falls short in that department. It's crucial for me to have a device that can truly capture the essence of my music, and unfortunately, this one falls short in that regard for those reasons I have to give it 4 stars instead of 5 stars.","Reviewed in the United States October 13, 2023",AFUJHHCQZAAFBM6YYCAIOHJOIIBA,True,10,Color: Black AnthraciteStyle: Bluetooth speaker
RHPQDXVXOSAEN,B08YRT9T38,5.0 out of 5 stars Classy and durable,Tiana,5,"Love the speaker. It’s not as punchy as a JBL or the likes but it is understated and elegant. Perfect for what we needed in a small apartment for some music and companionship. Battery life is excellent. I think I’ve charged it once in 3 months. We carry it outside, at the pool, no issues with sound or connectivity.","Reviewed in the United States June 21, 2024",AFPNI5CD5DJGWINHBQNJWPVCBQAQ,True,3,Color: Grey MistStyle: Bluetooth speaker
R2OOWD9I530XTQ,B08YRT9T38,4.0 out of 5 stars Absolute gem.......but a disappointing low amount of bass,Tim,4,"Let me start off by saying I did a LOT for research on smaller Bluetooth speakers before making a purchase – which includes reading review/articles and listening to YouTube reviews. I currently have a 3rd generation Oontz Angle 3 Ultra that’s I’ve had for 6 years and was in need of replacing – not because it was worn out, but I just wanted something newer and nicer but generally the same size with more power/more clarity. The B&O explore caught my attention right away due to the design and name. The price seemed a bit eye-watering, but I was really attracted to the battery life (a must for me), the design (very modern and durable), and the fact that is wasn’t a ‘smart speak’. I purchased the speaker, and downloaded the B&O app. The app is a MUST if you want ANY bass projection at all. Everything about this speaker is perfect for me…..except for the bass. There just isn’t any bass! Even with the app settings set to product as much bass as possible, the Explore just can’t deliver. Ultimately, this is a disappointment, as the price tag just doesn’t justify the sounds quality. All B&O need to do is add a little more bass for a perfect – if expensive – speaker! A it stands the JBL Flip 6 is the perfect speaker in this category and is only about $100 – so half the price of the B&O Explore. Here hoping B&O will make a Explore 2.0 with more bass, but will retain everything else that makes this speaker so cool.","Reviewed in the United States June 5, 2023",AHQTQTOQV5PGD55DUMHONIDGOHCQ,True,19,Color: NavyStyle: Bluetooth speaker
R1DPI5KKT6Q3PF,B08YRT9T38,4.0 out of 5 stars Have to use the App before using.,M. Ewen,4,"I don't know why they don't put a big sticker on the unit since you really need to use the App to get the sound profile that sounds great. Luckily I read the reviews so I was prepared. I was trying to decide between this and the JBL Flip 5 and two things really sold me on this. The 360 sound and the cool design. With the 'tweaking' I did, it sounds great. I listen to a lot of jazz so the bass level is perfect. Honestly I don't take it with me, but use it in my home office for background music.","Reviewed in the United States January 23, 2024",AGXWXGSBBHXXJUWITLPCBFE4XAMA,True,3,Color: ChestnutStyle: Bluetooth speaker
R10D2CHG5QFY5K,B08YRT9T38,2.0 out of 5 stars Sound is garbage. Don't waste your money.,Daniel G. Cox,2,"Seemed like it was well made at first , but then you turn it on and you realize what a bad choice you've made. For the price you're paying, you could get 2 or maybe 3 WAY BETTER bluetooth speakers. Luckily I got this one on sale. Unfortunately, because I thought this would be a great product because this a well respected brand, I threw out the box it came in, otherwise I would have returned it. There is absolutely no bass, it's not that loud, the app is glitchy and won't change the equalizer. If you want to spend the a little less money and get a really good product, get a Harmon / Kardon Luna for $100 less. Or a Soundcore Motion X600 for $50 less. Those things sound a million times better. One that surprised me was the UE Wonder Boom 4 for only $100, and it's a similar size with twice the max volume and way better sound. Severely disappointed. Maybe give this thing to someone who might just use it at work to listen to podcasts or something at their desk.","Reviewed in the United States August 18, 2024",AHDAAVGYSXAKNWA4ES62BLJPNMKA,True,1,Color: Black AnthraciteStyle: Bluetooth speaker
R2DFY4J0TKUMA0,B08YRT9T38,5.0 out of 5 stars Seriously fantastic device in small size 60 Watt,"M,Farid",5,"Its fantastic , sound is so nice for small places and its good in 60 watt sizei got it used as new in new box and easy program setupthanks","Reviewed in the United States June 19, 2024",AGLKASYEYEIBBEH3HGQLTD22LWKA,True,2,Color: Grey MistStyle: Bluetooth speaker
R2O0Y1WOOIW85A,B08YRT9T38,5.0 out of 5 stars Great sound for the price,Clay Pigeon,5,Got as bundle with a B&O A1. Prefer the sound quality of the Explore and use it daily. So far has been durable with good battery life. Love the speaker but not the B&O app.,"Reviewed in the United States June 14, 2024",AF4WVGY7DXLMS65M5QIQUFUDD64A,True,1,Color: Black AnthraciteStyle: Bluetooth speaker
R1Z6316A5TZ5T9,B08YRT9T38,4.0 out of 5 stars Nice littele speaker with thin bass.,Den,4,"As other reviewers have mentioned, the bass on this speaker is very thin, even when you adjust it in B&O phone app. Everything else is nothing to complain about. The clarity of sound is great, the battery life seems very long and the look and feel is very solid. I also have a Bose SoundLink, and Bose is significantly louder, and has much more bass, at the expense of the battery life, I guess. Bose has one speaker though, while B&O has two, which doesn't help such a small speaker much.So overall I prefer the Bose sound, but I generally like B&O products so I kept B&O for a small form factor and long battery life.","Reviewed in the United States November 9, 2023",AF2CHKRGBC7M52D3MNI7COMGIMBQ,True,10,Color: Black AnthraciteStyle: Bluetooth speaker
RNO68CUKSUUT1,B08YRT9T38,4.0 out of 5 stars rugged but not enuff amplifier power,joe m,4,"i have a paired set of these .. the b&oq app allows both mono or stereo from 2 speakers in tandem... still even with 2 , the sound is great but not LOUD . it is not possible to independently adjust the speaker amp gain from either the app or speaker itself. if you don'tthink they're loud enough as your 1st impression, then they will NEVER be loud enough...","Reviewed in the United States January 11, 2024",AGRRCD6M22QODI4EVHJAR3AMJK2Q,True,3,Color: Black AnthraciteStyle: Bluetooth speaker
R9WE6G9SFHCUV,B08YRT9T38,5.0 out of 5 stars This is the best Bluetooth speaker I’ve purchased.,Harry J,5,This speaker is amazing. I got it on sale. The price for this speaker I feel is worth every penny. The speaker does have weight to it. Not too heavy but because it is made out of quality metal it adds weight compared to cheap plastic ones. However that weight provides better sound since there is no rattling like plastic speakers. It’s a great size and looks amazing wherever you put it. It performs great in small rooms but in large rooms if you put it towards the center of the room it really fills the room. The sound is incredible for something so small. The quality of the sound doesn’t change as you turn it even all the way up. I was really impressed at what a clean sound it has. I do move it from room to room and bought it primarily for around the house but have also used it outside and taken it with me. Because it’s metal and looks so good and I want to keep it that way when putting it in a bag I put it in a small case type bag. However I haven’t been overly careful sign it around the house and even dropped it and nothing happened to it. The strap is well made also and really convenient and looks good because it’s well made as well. I had high expectations because the company makes great products but it even surpassed those expectations. I get endless compliments about it and have had friends order one right after seeing and hearing it and they were surprised at the price not being much higher. You will not regret buying this speaker.,"Reviewed in the United States September 22, 2022",AGNHUAL75XKTZ2XPNZK42LOO2EEQ,True,26,Color: Black AnthraciteStyle: Bluetooth speaker
R1J1GTVCU8IRBD,B08YRT9T38,3.0 out of 5 stars Faltantes,Eddie,3,No me agrada que está demasiada pequeña y el sonido está bien para el tamaño pero realmente hay otras del mismo tamaño y tienen más volumen pero está de muy buena calidad y la que me llegó no trae mosquetón ni cargador ni siquiera el cable,"Reviewed in the United States June 12, 2024",AH32NJXBS224KDAU2TTHF5AOUR5Q,True,1,Color: Grey MistStyle: Bluetooth speaker
R2UJS2UJJINCVV,B08YRT9T38,4.0 out of 5 stars Good sound quality,Carlo,4,"Good sound quality, easy-link and wide-range Bluetooth. essential on my outdoor outings.","Reviewed in the United States March 11, 2024",AEV3HETNGERQG4ISD2UQKXHQLUFA,True,1,Color: NavyStyle: Bluetooth speaker
R237791J1I0VR5,B08YRT9T38,4.0 out of 5 stars Grey looking speaker,Amazon Customer,4,"I'm on the fence about this speaker, not a picket fence, cause that would hurt my ass, just a regular pvc fence. I bought two and they pair well but when paired the battery life drains considerably - nowhere near the 27 hours or as i like to say, 1 and 1/8 days of battery life as advertized.It is durable and fairly robust - kind of like an irish child that was reared in the 1980s and ignored a lot.","Reviewed in the United States November 10, 2023",AGQ6XNJU632HZOHLFBQLL4SAKHCQ,True,5,Color: Black AnthraciteStyle: Bluetooth speaker
RE0SNM24AU0U9,B08YRT9T38,"5.0 out of 5 stars Excelente sonido, muy nítido.",Olga Lucía,5,La batería le dura muchísimo...me encantóLo recomiendo,"Reviewed in the United States June 17, 2024",AGPQVZPBVAGXMEH2O3GYN6DK2UZA,True,1,Color: Black AnthraciteStyle: Bluetooth speaker
R2FP3PE7HDPB9N,B08YRT9T38,"5.0 out of 5 stars Meets the need for camping, back porch and kitchen listening",AC,5,"So far I've found this speaker to be well made/very sturdy with some weight to it, easy to set up/connect via Bluetooth, and it provides nice quality sound. I downloaded the app and through the app adjusted the sound to just below ""Energetic"" (or between 3 and 4 o'clock) as per a YouTube review I watched. I bought it to take on camping trips (b/c I liked that it's waterproof) and listen to music on the back deck/porch or while cooking in the kitchen -- it meets those needs perfectly. I'm happy with the purchase.","Reviewed in the United States February 14, 2024",AHBWWIAVSBDB2BOTAT3UEXBZYY5A,True,3,Color: Grey MistStyle: Bluetooth speaker
R2MFPLRI4NJZ43,B08YRT9T38,5.0 out of 5 stars Amazing Sound,M. Sennit,5,Just like my other Bang & Olufsen Radio this is top shelf. Great sound well-made and portable!,"Reviewed in the United States June 1, 2024",AF5MIMWXG2NXIW4UKVQV7AURDUKQ,True,1,Color: NavyStyle: Bluetooth speaker
R16YFTNSO98JTM,B08YRT9T38,2.0 out of 5 stars Awesome! (…for a year…),alrightalrightalright,2,"I’m super picky about my Bluetooth speakers. I used to have a wonderboom and was happy with it until it finally croaked. I wanted something with long battery life, that was waterproof and decently rugged, and that had good sound quality. I initially bought another wonderboom but hated it! I did tons of research because I needed to replace it with something. I bring my little speaker everywhere and use it all the time. I’m so glad I gave this a shot. It’s perfect for my needs. I expected good sound quality, but I think that the sound quality on the Beosound Explore is *great* when you consider where it’s coming from. Everything is super balanced, and the app is useful if you want to do a bit of “fine tuning” to the EQ. It charges via USB-C. And I love that it comes with a little strap and carabiner. I use that all the time, actually, and it’s super convenient. The design and craftsmanship on the whole is stunning, and something I really appreciate. I feel like the machined aluminum casing probably lends to the sound quality this little thing can produce, but I’m not a sound engineer so this is just speculation. I got this for a steal of a deal on prime day - I think I paid like $130. For that price, I don’t think there’s anything better. If this speaker had a microphone, I think that would take it to the next level and make it worthy of some extra cash, but it’s not something I really need. My only two gripes are the design of the top - it collects water since there is a lip around the edge. The other is that it did sound a little “tinny” once when I probably turned the volume up way too much on one particular song - by way too much, I mean all the way up, like 100%. So unless you frequently do that, you’ll probably never experience it.Update 1 year and 2 months later - the speaker has started failing. It is distorting whatever audio I try to play. I have not done anything crazy with this - it’s never been dropped or exposed to any really extreme environments. Super upset as now I need to find a new portable Bluetooth speaker, and I won’t be going with B&O this time :(","Reviewed in the United States January 6, 2023",AG2NJCF7CFJ5FYZFKXRSFHKZR5JA,True,24,Color: Grey MistStyle: Bluetooth speaker
R1UUG9B701YHBM,B08YRT9T38,5.0 out of 5 stars Pure Crisp Sound,Antonio,5,"I just got my B&O explore speakers today. The sound is amazing. I paid $130 for the Like New box.. one complaint is the hook that comes with the speaker was missing. Other than that the speakers are well-made, and works even better… once you download the B&O app . I also got a silicone protective cover for the speakers on Amazon. Great deal for half off","Reviewed in the United States March 21, 2024",AE6XNO573RPRDY5N4NSS45WWBUSQ,True,4,Color: ChestnutStyle: Bluetooth speaker
R4RXFFZF46VZ3,B08YRT9T38,"3.0 out of 5 stars Beautiful speaker, poor sound",Jaime,3,"After reading all the reviews that said this speaker had absolutely no bass, I still decided to get it… upon getting it I turns out it had absolutely no bass on it, even after setting the equalizer: poor sound, still decided to keep it. But after playing some music a couple days, the volume would go up and down for no reason, I decided to return it, stay away, there are a ton or different speakers with better specs and even lower prices!","Reviewed in the United States April 3, 2024",AGRK6CHZXKU2ZUXRAWU7APA5CV2Q,True,3,Color: NavyStyle: Bluetooth speaker
RBG72T1ZYM99P,B08YRT9T38,"2.0 out of 5 stars Wow, these reviews are misleading. This thing seriously lacks.",Hunter,2,"I’m not sure if everyone is just used to horrible audio or have no clue what actual quality amplification sounds like. This piece of junk looks the part, but my god does it sound horrendous! It sounds so cheap and dull. I compared my UE boom side by side because that’s what I wanted to replace with the B&O. The bass is not even comparable, and the clarity of the treble is also so severely lacking to something at the same price point. What a disgrace. Only consolation is the sleek design. It looks and feels awesome.","Reviewed in the United States August 2, 2024",AG5FAJ7MIPPRAJTYA3PG4EWNPLEQ,True,1,Color: Grey MistStyle: Bluetooth speaker
R2FW375ZMICOER,B08YRT9T38,4.0 out of 5 stars It Will Do,Susan W,4,"There are alot of options for portable speakers out there around the $150 range and here are my thoughts on a few:UE Boom 3 - sounds tingy (couldn't see much positive after that)JBL Flip 6 - truly waterproof, have submerged completely in the pool and still works, often on sale, not going to break my heart if gets banged up. bigger distinction between audio segments vs Flip 4 (personally I'm a JBL fan, have lots of their products, IMO the best sound for the amount spend)Bose Soundlink Flex - compared to earlier Soundlink models, it cheapened on the material. no EQ option in app. it beautifies the sound especially the midrangeBang & Olufsen Beosound Explore - really like the anodized aluminum exterior, due to color of speaker, controls are hard to see in dark, agree with other reviewers, bass is lacking even adjusted via app. midrange sounds good. however highs seems to be a hit or miss depending on the song/singer","Reviewed in the United States September 7, 2022",AGQCXQACYJAVTXL4MAJT5UCWOMNA,True,21,Color: Black AnthraciteStyle: Bluetooth speaker
R1KC8HAMT24SLL,B08YRT9T38,2.0 out of 5 stars Beautiful Gowns,M. H. MO,2,"Like Aretha said about Taylor, gorgeous gowns. This speaker is so lovely to look at, sturdy and smooth in sound. But lack of basic functions make it a waste of money, especially as it wastes so much time. It usually powers on at full volume, no matter how volume is adjusted on the device it’s connected to.And adjusting volume from your device is randomly not an option. also you need to download an app to use it at all. If more than one device has it saved, you don’t get to decide which device the speaker will connect to. Mid-play, the speaker will switch to the other device, then in order to switch back, you’d have to forget the speaker on one device or turn off Bluetooth. It takes a very particular situation for uninterrupted and dramatic comedy-free playback. I already spent way too much money and time to switch out so I am now on a journey of learning to let this thing helo me laugh at myself LOL.","Reviewed in the United States May 10, 2024",AGDYCI2PZ6BZV5TQ42VAJKN3O6UQ,True,3,Color: ChestnutStyle: Bluetooth speaker
R1Y9EC0AVUW2U2,B08YRT9T38,5.0 out of 5 stars Excelente calidad de fabricación y sonido que sorprende,Oscar C.,5,"Excelente diseño y acabado, el sonido sorprende y mas conociendo que internamente tiene dos parlantes opuestos del mismo tamaño para todo el rango de frecuencias. El aplicativo es sencillo e intuitivo. Si se compran dos parlantes siempre está la alternativa de sincronizarlos para un sonido estéreo. No he probado si efectivamente son resistentes al agua pero salvo un accidente no creo que realmente esto sea un riesgo continuo.","Reviewed in the United States February 29, 2024",AHBDNFGP3IT4Q2CBOMADMOTEH6BQ,True,1,Color: Black AnthraciteStyle: Bluetooth speaker
R2492PJWV966YT,B08YRT9T38,5.0 out of 5 stars Great speaker!,Andrew,5,"I really like this speaker!I had Bose revolve for three years and it died, so I am in search for a portable speaker.My checklist:-Portable-waterproof-sound qualityI tried some options, Sonos roam, Marshall Emberton, Bose’s revolve+ II, B&Q’s A1 generation 2, and Explore.I recommend everybody planning to obtain a speaker to try and to actually listen the sound themselves instead of reading tons of biased reviews online.I mainly need this speaker to be in the shower and tennis court. I mainly listen to classical music and popular music.I pick Explore because it has the ability to present the music I love in a very good and pleasant way.Sound quality:Bose’s sound is nice, but it is too emphasized on bass that the music became incorrect. Sonos’ Roam is a close runner-up, but it’s sound is too soft in the bass and too puncture in the middle. Emberton is great for the popular music but for classical music, some wind instruments sound a bit wrong. The A1 from B&Q is surprisingly a bit spread out that the focus went too far. Explore is a small speaker that has the fault of closed up sound that every small speaker has, but it shows the ability to produce a pleasant balance that I love.Functions:The last thing I want is they recording my shower singing in those Alexa/Siri enable smart speaker, so this speaker is best for privacy concerns.I recommend you download the app and play around to find the sound you like! For me it’s a tad between warm and energetic shown in the picture.","Reviewed in the United States July 29, 2021",AEL6F4HSUCDRWGUO44A2VKNRDE2A,True,54,Color: GreenStyle: Bluetooth speaker
R4OS3LZY8MO65,B08YRT9T38,5.0 out of 5 stars Exceptionally Affordable Speaker,Nick,5,The Beosound Explorer by Bang & Olufsen is a sleek portable design speaker. For it’s small size it has amazing quality and durable construction which makes it the perfect companion for any adventure.,"Reviewed in the United States April 17, 2024",AEPVKJKHFRJIK3CSAFPDT33P5A2A,True,1,Color: NavyStyle: Bluetooth speaker
R3T1FZB2TL5RGE,B08YRT9T38,4.0 out of 5 stars Muy buen sonido y comodidad para transportar,Juan L.,4,El sonido,"Reviewed in the United States January 30, 2024",AGQ65UCDP6TER27HTQMUIIWSPEWQ,True,1,Color: NavyStyle: Bluetooth speaker
